REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_MASCHI,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,,Privatizzazione RAI,51.50%,5,"239,432.00","115,992.00","123,440.00","123,304.00","61,933.00","61,371.00","44,091.00","55,566.00","18,844.00"
,,Raccolta pubblicita' radiotelevisiva,51.87%,0,"239,432.00","115,992.00","123,440.00","124,183.00","62,398.00","61,785.00","36,898.00","77,221.00","6,639.00"
,,Rappresentanze sindacali (richiesta massimale),51.51%,1,"239,432.00","115,992.00","123,440.00","123,320.00","61,987.00","61,333.00","48,562.00","49,765.00","19,292.00"
,,Rappresentanze sindacali (richiesta minimale),51.45%,2,"239,432.00","115,992.00","123,440.00","123,184.00","61,869.00","61,315.00","52,264.00","44,038.00","21,468.00"
,,Soggiorno cautelare,51.43%,4,"239,432.00","115,992.00","123,440.00","123,144.00","61,828.00","61,316.00","47,228.00","49,129.00","21,557.00"
,,Trattenute contributi sindacali,51.48%,7,"239,432.00","115,992.00","123,440.00","123,248.00","61,902.00","61,346.00","53,813.00","45,126.00","19,386.00"
,Ragusa Total,,51.58%,45,"2,873,184.00","1,391,904.00","1,481,280.00","1,482,054.00","744,511.00","737,543.00","533,758.00","690,777.00","201,434.00"
,Siracusa,Autorizzazione al commercio,49.19%,6,"343,326.00","168,662.00","174,664.00","168,867.00","86,019.00","82,848.00","60,194.00","81,669.00","22,085.00"
,,Concessioni televisive nazionali,49.56%,0,"343,326.00","168,662.00","174,664.00","170,137.00","86,709.00","83,428.00","49,972.00","110,704.00","5,713.00"
,,Contrattazione pubblico impiego,49.17%,3,"343,326.00","168,662.00","174,664.00","168,801.00","83,592.00","85,209.00","85,462.00","55,475.00","22,580.00"
,,Interruzioni pubblicitarie,49.56%,0,"343,326.00","168,662.00","174,664.00","170,158.00","86,736.00","83,422.00","51,696.00","109,999.00","5,448.00"
,,Legge elettorale comuni,49.22%,8,"343,326.00","168,662.00","174,664.00","168,982.00","86,094.00","82,888.00","75,692.00","66,930.00","21,293.00"
,,Orari esercizi commerciali,49.19%,9,"343,326.00","168,662.00","174,664.00","168,889.00","85,995.00","82,894.00","63,432.00","82,835.00","18,319.00"
,,Privatizzazione RAI,49.23%,5,"343,326.00","168,662.00","174,664.00","169,028.00","86,120.00","82,908.00","66,458.00","78,343.00","19,479.00"
,,Raccolta pubblicita' radiotelevisiva,49.56%,0,"343,326.00","168,662.00","174,664.00","170,150.00","86,745.00","83,405.00","50,438.00","110,564.00","5,695.00"
,,Rappresentanze sindacali (richiesta massimale),49.18%,1,"343,326.00","168,662.00","174,664.00","168,848.00","86,022.00","82,826.00","77,712.00","65,899.00","19,898.00"
,,Rappresentanze sindacali (richiesta minimale),49.17%,2,"343,326.00","168,662.00","174,664.00","168,802.00","85,985.00","82,817.00","82,289.00","59,185.00","22,014.00"
,,Soggiorno cautelare,49.18%,4,"343,326.00","168,662.00","174,664.00","168,843.00","86,020.00","82,823.00","64,274.00","76,731.00","22,559.00"
,,Trattenute contributi sindacali,49.23%,7,"343,326.00","168,662.00","174,664.00","169,009.00","86,121.00","82,888.00","85,495.00","58,699.00","19,870.00"
,Siracusa Total,,49.29%,45,"4,119,912.00","2,023,944.00","2,095,968.00","2,030,514.00","1,032,158.00","998,356.00","813,114.00","957,033.00","204,953.00"
,Trapani,Autorizzazione al commercio,49.76%,6,"369,167.00","177,764.00","191,403.00","183,680.00","94,153.00","89,527.00","58,985.00","84,649.00","32,278.00"
