REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_MASCHI,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,,Rappresentanze sindacali (richiesta minimale),65.34%,2,"238,523.00","114,511.00","124,012.00","155,862.00","77,146.00","78,716.00","87,623.00","47,831.00","13,505.00"
,,Soggiorno cautelare,65.49%,4,"238,523.00","114,511.00","124,012.00","156,211.00","77,276.00","78,935.00","95,441.00","39,771.00","17,993.00"
,,Trattenute contributi sindacali,65.57%,7,"238,523.00","114,511.00","124,012.00","156,407.00","77,407.00","79,000.00","82,632.00","55,972.00","15,153.00"
,Piacenza Total,,65.74%,45,"2,862,276.00","1,374,132.00","1,488,144.00","1,881,664.00","924,760.00","956,904.00","888,699.00","795,508.00","160,990.00"
,Ravenna,Autorizzazione al commercio,70.64%,6,"306,407.00","146,790.00","159,617.00","216,445.00","105,746.00","110,699.00","52,039.00","144,499.00","17,151.00"
,,Concessioni televisive nazionali,71.89%,0,"306,407.00","146,790.00","159,617.00","220,283.00","107,888.00","112,395.00","128,719.00","84,424.00","5,196.00"
,,Contrattazione pubblico impiego,70.54%,3,"306,407.00","146,790.00","159,617.00","216,147.00","105,775.00","110,372.00","143,758.00","51,757.00","17,576.00"
,,Interruzioni pubblicitarie,71.87%,0,"306,407.00","146,790.00","159,617.00","220,207.00","107,892.00","112,315.00","130,835.00","82,643.00","5,060.00"
,,Legge elettorale comuni,70.82%,8,"306,407.00","146,790.00","159,617.00","217,004.00","106,249.00","110,755.00","68,335.00","128,317.00","17,301.00"
,,Orari esercizi commerciali,70.79%,9,"306,407.00","146,790.00","159,617.00","216,905.00","106,115.00","110,790.00","57,978.00","141,839.00","15,101.00"
,,Privatizzazione RAI,71.01%,5,"306,407.00","146,790.00","159,617.00","217,583.00","106,495.00","111,088.00","136,643.00","65,591.00","13,233.00"
,,Raccolta pubblicita' radiotelevisiva,71.90%,0,"306,407.00","146,790.00","159,617.00","220,296.00","107,902.00","112,394.00","129,044.00","83,540.00","5,798.00"
,,Rappresentanze sindacali (richiesta massimale),70.59%,1,"306,407.00","146,790.00","159,617.00","216,288.00","105,903.00","110,385.00","71,683.00","124,973.00","16,121.00"
,,Rappresentanze sindacali (richiesta minimale),70.53%,2,"306,407.00","146,790.00","159,617.00","216,116.00","105,760.00","110,356.00","139,526.00","56,474.00","16,955.00"
,,Soggiorno cautelare,70.65%,4,"306,407.00","146,790.00","159,617.00","216,481.00","105,934.00","110,547.00","128,236.00","49,010.00","35,326.00"
,,Trattenute contributi sindacali,70.78%,7,"306,407.00","146,790.00","159,617.00","216,884.00","106,119.00","110,765.00","81,731.00","116,908.00","15,702.00"
,Ravenna Total,,71.00%,45,"3,676,884.00","1,761,480.00","1,915,404.00","2,610,639.00","1,277,778.00","1,332,861.00","1,268,527.00","1,129,975.00","180,520.00"
,Reggio Emilia,Autorizzazione al commercio,71.66%,6,"358,136.00","172,602.00","185,534.00","256,645.00","126,151.00","130,494.00","56,937.00","179,379.00","17,956.00"
,,Concessioni televisive nazionali,72.67%,0,"358,136.00","172,602.00","185,534.00","260,262.00","128,204.00","132,058.00","161,143.00","90,807.00","6,487.00"
,,Contrattazione pubblico impiego,71.63%,3,"358,136.00","172,602.00","185,534.00","256,530.00","126,144.00","130,386.00","172,771.00","61,326.00","19,648.00"
,,Interruzioni pubblicitarie,72.65%,0,"358,136.00","172,602.00","185,534.00","260,178.00","128,180.00","131,998.00","165,140.00","87,230.00","6,314.00"
,,Legge elettorale comuni,71.82%,8,"358,136.00","172,602.00","185,534.00","257,197.00","126,562.00","130,635.00","77,047.00","158,392.00","19,224.00"
,,Orari esercizi commerciali,71.78%,9,"358,136.00","172,602.00","185,534.00","257,073.00","126,405.00","130,668.00","61,739.00","177,154.00","15,921.00"
,,Privatizzazione RAI,71.93%,5,"358,136.00","172,602.00","185,534.00","257,604.00","126,849.00","130,755.00","169,439.00","71,351.00","14,632.00"
,,Raccolta pubblicita' radiotelevisiva,72.63%,0,"358,136.00","172,602.00","185,534.00","260,100.00","128,095.00","132,005.00","161,090.00","90,014.00","7,268.00"
,,Rappresentanze sindacali (richiesta massimale),71.65%,1,"358,136.00","172,602.00","185,534.00","256,620.00","126,236.00","130,384.00","77,806.00","159,758.00","16,223.00"
,,Rappresentanze sindacali (richiesta minimale),71.63%,2,"358,136.00","172,602.00","185,534.00","256,528.00","126,269.00","130,259.00","166,271.00","68,770.00","18,645.00"
,,Soggiorno cautelare,71.65%,4,"358,136.00","172,602.00","185,534.00","256,603.00","126,406.00","130,197.00","169,137.00","59,000.00","25,159.00"
,,Trattenute contributi sindacali,71.83%,7,"358,136.00","172,602.00","185,534.00","257,245.00","126,544.00","130,701.00","88,515.00","150,545.00","15,922.00"
,Reggio Emilia Total,,71.96%,45,"4,297,632.00","2,071,224.00","2,226,408.00","3,092,585.00","1,522,045.00","1,570,540.00","1,527,035.00","1,353,726.00","183,399.00"
,Rimini,Autorizzazione al commercio,64.78%,6,"225,002.00","108,481.00","116,521.00","145,756.00","72,828.00","72,928.00","42,386.00","89,314.00","12,038.00"
,,Concessioni televisive nazionali,65.84%,0,"225,002.00","108,481.00","116,521.00","148,138.00","74,068.00","74,070.00","76,773.00","66,720.00","3,168.00"
,,Contrattazione pubblico impiego,64.64%,3,"225,002.00","108,481.00","116,521.00","145,441.00","72,641.00","72,800.00","91,877.00","39,172.00","12,211.00"
,,Interruzioni pubblicitarie,65.83%,0,"225,002.00","108,481.00","116,521.00","148,121.00","74,052.00","74,069.00","78,656.00","65,220.00","3,082.00"
,,Legge elettorale comuni,64.88%,8,"225,002.00","108,481.00","116,521.00","145,982.00","72,948.00","73,034.00","58,379.00","73,188.00","12,381.00"
,,Orari esercizi commerciali,64.88%,9,"225,002.00","108,481.00","116,521.00","145,992.00","72,983.00","73,009.00","43,905.00","90,986.00","9,311.00"
,,Privatizzazione RAI,64.92%,5,"225,002.00","108,481.00","116,521.00","146,078.00","72,985.00","73,093.00","87,041.00","47,733.00","9,413.00"
,,Raccolta pubblicita' radiotelevisiva,65.81%,0,"225,002.00","108,481.00","116,521.00","148,065.00","74,016.00","74,049.00","77,187.00","65,971.00","3,520.00"
,,Rappresentanze sindacali (richiesta massimale),64.67%,1,"225,002.00","108,481.00","116,521.00","145,519.00","72,768.00","72,751.00","57,701.00","74,779.00","10,825.00"
,,Rappresentanze sindacali (richiesta minimale),64.64%,2,"225,002.00","108,481.00","116,521.00","145,441.00","72,680.00","72,761.00","88,148.00","43,192.00","11,923.00"
,,Soggiorno cautelare,64.75%,4,"225,002.00","108,481.00","116,521.00","145,681.00","72,786.00","72,895.00","88,409.00","38,797.00","15,926.00"
,,Trattenute contributi sindacali,64.86%,7,"225,002.00","108,481.00","116,521.00","145,926.00","72,962.00","72,964.00","67,976.00","65,954.00","10,171.00"
,Rimini Total,,65.04%,45,"2,700,024.00","1,301,772.00","1,398,252.00","1,756,140.00","877,717.00","878,423.00","858,438.00","761,026.00","113,969.00"
EMILIA ROMAGNA Total,,,69.62%,405,"40,865,832.00","19,551,252.00","21,314,580.00","28,452,280.00","13,940,526.00","14,511,754.00","13,854,009.00","12,417,406.00","1,843,005.00"
FRIULI V.GIULIA,Gorizia,Autorizzazione al commercio,67.11%,6,"121,685.00","58,034.00","63,651.00","81,668.00","39,120.00","42,548.00","26,081.00","47,963.00","6,254.00"
,,Concessioni televisive nazionali,68.25%,0,"121,685.00","58,034.00","63,651.00","83,048.00","39,851.00","43,197.00","37,526.00","42,333.00","2,288.00"
,,Contrattazione pubblico impiego,66.89%,3,"121,685.00","58,034.00","63,651.00","81,399.00","39,049.00","42,350.00","47,340.00","25,636.00","6,939.00"
,,Interruzioni pubblicitarie,68.24%,0,"121,685.00","58,034.00","63,651.00","83,040.00","39,838.00","43,202.00","39,117.00","40,906.00","2,196.00"
,,Legge elettorale comuni,67.24%,8,"121,685.00","58,034.00","63,651.00","81,823.00","39,233.00","42,590.00","38,004.00","36,037.00","6,411.00"
,,Orari esercizi commerciali,67.01%,9,"121,685.00","58,034.00","63,651.00","81,538.00","39,150.00","42,388.00","29,452.00","45,758.00","5,295.00"
,,Privatizzazione RAI,67.38%,5,"121,685.00","58,034.00","63,651.00","81,991.00","39,316.00","42,675.00","42,348.00","33,291.00","5,172.00"
,,Raccolta pubblicita' radiotelevisiva,68.17%,0,"121,685.00","58,034.00","63,651.00","82,949.00","39,801.00","43,148.00","37,877.00","41,553.00","2,600.00"
,,Rappresentanze sindacali (richiesta massimale),67.05%,1,"121,685.00","58,034.00","63,651.00","81,586.00","39,158.00","42,428.00","36,437.00","38,121.00","5,553.00"
,,Rappresentanze sindacali (richiesta minimale),66.94%,2,"121,685.00","58,034.00","63,651.00","81,458.00","39,080.00","42,378.00","45,372.00","28,099.00","6,610.00"
,,Soggiorno cautelare,67.15%,4,"121,685.00","58,034.00","63,651.00","81,711.00","39,155.00","42,556.00","50,720.00","22,342.00","7,004.00"
,,Trattenute contributi sindacali,67.30%,7,"121,685.00","58,034.00","63,651.00","81,890.00","39,295.00","42,595.00","41,392.00","33,953.00","5,320.00"
,Gorizia Total,,67.39%,45,"1,460,220.00","696,408.00","763,812.00","984,101.00","472,046.00","512,055.00","471,666.00","435,992.00","61,642.00"
,Pordenone,Autorizzazione al commercio,57.37%,6,"251,985.00","121,611.00","130,374.00","144,573.00","71,672.00","72,901.00","59,017.00","83,132.00","10,301.00"
,,Concessioni televisive nazionali,58.21%,0,"251,985.00","121,611.00","130,374.00","146,674.00","72,983.00","73,691.00","59,942.00","81,961.00","3,318.00"
,,Contrattazione pubblico impiego,57.17%,3,"251,985.00","121,611.00","130,374.00","144,061.00","71,663.00","72,398.00","77,622.00","52,557.00","11,608.00"
,,Interruzioni pubblicitarie,58.19%,0,"251,985.00","121,611.00","130,374.00","146,631.00","72,949.00","73,682.00","63,398.00","78,838.00","3,170.00"
,,Legge elettorale comuni,57.43%,8,"251,985.00","121,611.00","130,374.00","144,719.00","71,971.00","72,748.00","73,057.00","59,024.00","10,532.00"
,,Orari esercizi commerciali,57.44%,9,"251,985.00","121,611.00","130,374.00","144,736.00","71,936.00","72,800.00","60,052.00","74,365.00","8,417.00"
,,Privatizzazione RAI,57.52%,5,"251,985.00","121,611.00","130,374.00","144,953.00","72,108.00","72,845.00","78,905.00","55,850.00","8,319.00"
,,Raccolta pubblicita' radiotelevisiva,58.15%,0,"251,985.00","121,611.00","130,374.00","146,523.00","72,903.00","73,620.00","60,513.00","80,930.00","3,693.00"
,,Rappresentanze sindacali (richiesta massimale),57.27%,1,"251,985.00","121,611.00","130,374.00","144,305.00","71,752.00","72,553.00","66,888.00","65,714.00","9,436.00"
,,Rappresentanze sindacali (richiesta minimale),57.18%,2,"251,985.00","121,611.00","130,374.00","144,087.00","71,657.00","72,430.00","73,838.00","57,218.00","10,915.00"
,,Soggiorno cautelare,57.50%,4,"251,985.00","121,611.00","130,374.00","144,901.00","72,030.00","72,871.00","95,411.00","37,474.00","9,830.00"
,,Trattenute contributi sindacali,57.47%,7,"251,985.00","121,611.00","130,374.00","144,821.00","72,040.00","72,781.00","80,072.00","54,059.00","8,701.00"
,Pordenone Total,,57.58%,45,"3,023,820.00","1,459,332.00","1,564,488.00","1,740,984.00","865,664.00","875,320.00","848,715.00","781,122.00","98,240.00"
,Trieste,Autorizzazione al commercio,61.72%,6,"227,735.00","105,005.00","122,730.00","140,557.00","66,695.00","73,862.00","51,037.00","78,207.00","8,829.00"
,,Concessioni televisive nazionali,63.08%,0,"227,735.00","105,005.00","122,730.00","143,646.00","68,194.00","75,452.00","51,940.00","88,079.00","2,326.00"
,,Contrattazione pubblico impiego,61.54%,3,"227,735.00","105,005.00","122,730.00","140,150.00","66,554.00","73,596.00","88,463.00","39,108.00","9,870.00"
,,Interruzioni pubblicitarie,63.02%,0,"227,735.00","105,005.00","122,730.00","143,523.00","68,078.00","75,445.00","53,674.00","86,197.00","2,220.00"
,,Legge elettorale comuni,61.86%,8,"227,735.00","105,005.00","122,730.00","140,885.00","66,877.00","74,008.00","74,719.00","55,306.00","8,762.00"
,,Orari esercizi commerciali,61.78%,9,"227,735.00","105,005.00","122,730.00","140,685.00","66,724.00","73,961.00","57,079.00","74,798.00","7,033.00"
,,Privatizzazione RAI,62.17%,5,"227,735.00","105,005.00","122,730.00","141,576.00","67,186.00","74,390.00","72,142.00","60,271.00","6,875.00"
,,Raccolta pubblicita' radiotelevisiva,62.96%,0,"227,735.00","105,005.00","122,730.00","143,374.00","68,001.00","75,373.00","53,076.00","86,345.00","2,637.00"
,,Rappresentanze sindacali (richiesta massimale),61.63%,1,"227,735.00","105,005.00","122,730.00","140,349.00","66,681.00","73,668.00","77,851.00","51,274.00","8,366.00"
,,Rappresentanze sindacali (richiesta minimale),61.60%,2,"227,735.00","105,005.00","122,730.00","140,275.00","66,583.00","73,692.00","84,909.00","43,152.00","9,537.00"
,,Soggiorno cautelare,61.73%,4,"227,735.00","105,005.00","122,730.00","140,579.00","66,679.00","73,900.00","88,303.00","40,336.00","9,191.00"
,,Trattenute contributi sindacali,61.88%,7,"227,735.00","105,005.00","122,730.00","140,915.00","66,831.00","74,084.00","85,777.00","45,027.00","8,054.00"
,Trieste Total,,62.08%,45,"2,732,820.00","1,260,060.00","1,472,760.00","1,696,514.00","805,083.00","891,431.00","838,970.00","748,100.00","83,700.00"
,Udine,Autorizzazione al commercio,54.61%,6,"476,333.00","229,326.00","247,007.00","260,129.00","128,209.00","131,920.00","93,511.00","142,750.00","19,929.00"
,,Concessioni televisive nazionali,55.71%,0,"476,333.00","229,326.00","247,007.00","265,352.00","130,858.00","134,494.00","107,577.00","148,583.00","6,547.00"
,,Contrattazione pubblico impiego,54.38%,3,"476,333.00","229,326.00","247,007.00","259,007.00","127,741.00","131,266.00","140,431.00","91,252.00","22,845.00"
,,Interruzioni pubblicitarie,55.72%,0,"476,333.00","229,326.00","247,007.00","265,411.00","130,869.00","134,542.00","114,737.00","142,378.00","6,098.00"
,,Legge elettorale comuni,54.66%,8,"476,333.00","229,326.00","247,007.00","260,382.00","128,380.00","132,002.00","131,863.00","103,347.00","21,184.00"
,,Orari esercizi commerciali,54.70%,9,"476,333.00","229,326.00","247,007.00","260,536.00","128,383.00","132,153.00","105,093.00","135,198.00","16,738.00"
,,Privatizzazione RAI,54.83%,5,"476,333.00","229,326.00","247,007.00","261,190.00","128,819.00","132,371.00","136,674.00","104,546.00","16,502.00"
,,Raccolta pubblicita' radiotelevisiva,55.66%,0,"476,333.00","229,326.00","247,007.00","265,121.00","130,748.00","134,373.00","108,994.00","146,180.00","7,400.00"
,,Rappresentanze sindacali (richiesta massimale),54.48%,1,"476,333.00","229,326.00","247,007.00","259,501.00","127,948.00","131,553.00","123,620.00","112,145.00","19,352.00"
,,Rappresentanze sindacali (richiesta minimale),54.41%,2,"476,333.00","229,326.00","247,007.00","259,168.00","127,810.00","131,358.00","134,178.00","98,970.00","21,691.00"
,,Soggiorno cautelare,54.70%,4,"476,333.00","229,326.00","247,007.00","260,539.00","128,513.00","132,026.00","171,585.00","66,105.00","18,955.00"
,,Trattenute contributi sindacali,54.70%,7,"476,333.00","229,326.00","247,007.00","260,552.00","128,540.00","132,012.00","144,672.00","94,208.00","17,973.00"
,Udine Total,,54.88%,45,"5,715,996.00","2,751,912.00","2,964,084.00","3,136,888.00","1,546,818.00","1,590,070.00","1,512,935.00","1,385,662.00","195,214.00"
FRIULI V.GIULIA Total,,,58.44%,180,"12,932,856.00","6,167,712.00","6,765,144.00","7,558,487.00","3,689,611.00","3,868,876.00","3,672,286.00","3,350,876.00","438,796.00"
LAZIO,Frosinone,Autorizzazione al commercio,49.29%,6,"432,735.00","211,549.00","221,186.00","213,288.00","108,985.00","104,303.00","68,356.00","106,633.00","31,995.00"
,,Concessioni televisive nazionali,49.86%,0,"432,735.00","211,549.00","221,186.00","215,780.00","110,306.00","105,474.00","68,847.00","129,905.00","12,376.00"
,,Contrattazione pubblico impiego,49.29%,3,"432,735.00","211,549.00","221,186.00","213,282.00","109,018.00","104,264.00","106,560.00","68,506.00","32,288.00"
,,Interruzioni pubblicitarie,49.89%,0,"432,735.00","211,549.00","221,186.00","215,874.00","108,312.00","107,562.00","86,096.00","113,238.00","12,250.00"
,,Legge elettorale comuni,49.35%,8,"432,735.00","211,549.00","221,186.00","213,550.00","109,168.00","104,382.00","90,903.00","85,863.00","30,745.00"
,,Orari esercizi commerciali,49.33%,9,"432,735.00","211,549.00","221,186.00","213,460.00","109,085.00","104,375.00","71,337.00","108,664.00","27,728.00"
,,Privatizzazione RAI,49.37%,5,"432,735.00","211,549.00","221,186.00","213,650.00","109,211.00","104,439.00","81,199.00","98,860.00","27,869.00"
,,Raccolta pubblicita' radiotelevisiva,49.85%,0,"432,735.00","211,549.00","221,186.00","215,708.00","110,277.00","105,431.00","65,175.00","123,609.00","12,120.00"
,,Rappresentanze sindacali (richiesta massimale),49.32%,1,"432,735.00","211,549.00","221,186.00","213,419.00","109,102.00","104,317.00","92,992.00","85,686.00","27,980.00"
,,Rappresentanze sindacali (richiesta minimale),49.29%,2,"432,735.00","211,549.00","221,186.00","213,308.00","109,030.00","104,278.00","102,416.00","73,404.00","31,049.00"
,,Soggiorno cautelare,49.27%,4,"432,735.00","211,549.00","221,186.00","213,188.00","108,928.00","104,260.00","95,618.00","77,881.00","32,944.00"
,,Trattenute contributi sindacali,49.34%,7,"432,735.00","211,549.00","221,186.00","213,528.00","109,167.00","104,361.00","99,242.00","79,016.00","29,031.00"
,Frosinone Total,,49.45%,45,"5,192,820.00","2,538,588.00","2,654,232.00","2,568,035.00","1,310,589.00","1,257,446.00","1,028,741.00","1,151,265.00","308,375.00"
,Latina,Autorizzazione al commercio,54.44%,6,"416,578.00","203,516.00","213,062.00","226,789.00","113,149.00","113,640.00","76,448.00","118,705.00","26,418.00"
,,Concessioni televisive nazionali,55.09%,0,"416,578.00","203,516.00","213,062.00","229,480.00","114,619.00","114,861.00","65,315.00","153,536.00","7,935.00"
,,Contrattazione pubblico impiego,54.47%,3,"416,578.00","203,516.00","213,062.00","226,894.00","113,118.00","113,776.00","125,147.00","68,790.00","27,566.00"
,,Interruzioni pubblicitarie,55.09%,0,"416,578.00","203,516.00","213,062.00","229,490.00","114,626.00","114,864.00","67,947.00","151,425.00","7,459.00"
,,Legge elettorale comuni,54.53%,8,"416,578.00","203,516.00","213,062.00","227,163.00","113,383.00","113,780.00","109,419.00","87,565.00","25,640.00"
,,Orari esercizi commerciali,54.49%,9,"416,578.00","203,516.00","213,062.00","227,002.00","113,253.00","113,749.00","79,664.00","120,657.00","22,454.00"
,,Privatizzazione RAI,54.53%,5,"416,578.00","203,516.00","213,062.00","227,140.00","113,378.00","113,762.00","95,704.00","103,725.00","23,143.00"
,,Raccolta pubblicita' radiotelevisiva,55.07%,0,"416,578.00","203,516.00","213,062.00","229,405.00","114,577.00","114,828.00","66,890.00","151,802.00","7,861.00"
,,Rappresentanze sindacali (richiesta massimale),54.46%,1,"416,578.00","203,516.00","213,062.00","226,885.00","113,175.00","113,710.00","110,523.00","86,688.00","24,441.00"
,,Rappresentanze sindacali (richiesta minimale),54.42%,2,"416,578.00","203,516.00","213,062.00","226,703.00","113,133.00","113,570.00","121,138.00","73,476.00","27,169.00"
,,Soggiorno cautelare,54.42%,4,"416,578.00","203,516.00","213,062.00","226,696.00","113,112.00","113,584.00","115,804.00","78,312.00","27,370.00"
,,Trattenute contributi sindacali,54.51%,7,"416,578.00","203,516.00","213,062.00","227,067.00","113,356.00","113,711.00","120,544.00","77,647.00","24,580.00"
,Latina Total,,54.63%,45,"4,998,936.00","2,442,192.00","2,556,744.00","2,730,714.00","1,362,879.00","1,367,835.00","1,154,543.00","1,272,328.00","252,036.00"
,Rieti,Autorizzazione al commercio,56.65%,6,"124,009.00","59,686.00","64,323.00","70,248.00","35,242.00","35,006.00","20,752.00","38,487.00","8,948.00"
,,Concessioni televisive nazionali,57.79%,0,"124,009.00","59,686.00","64,323.00","71,661.00","35,981.00","35,680.00","25,380.00","41,743.00","3,140.00"
,,Contrattazione pubblico impiego,56.56%,3,"124,009.00","59,686.00","64,323.00","70,139.00","35,192.00","34,947.00","37,538.00","21,178.00","9,142.00"
,,Interruzioni pubblicitarie,57.77%,0,"124,009.00","59,686.00","64,323.00","71,636.00","35,963.00","35,673.00","25,506.00","42,041.00","3,042.00"
,,Legge elettorale comuni,56.78%,8,"124,009.00","59,686.00","64,323.00","70,416.00","35,354.00","35,062.00","30,170.00","29,503.00","8,651.00"
,,Orari esercizi commerciali,56.67%,9,"124,009.00","59,686.00","64,323.00","70,277.00","35,236.00","35,041.00","21,400.00","39,159.00","7,748.00"
,,Privatizzazione RAI,56.79%,5,"124,009.00","59,686.00","64,323.00","70,423.00","35,341.00","35,082.00","27,869.00","32,905.00","7,790.00"
,,Raccolta pubblicita' radiotelevisiva,57.76%,0,"124,009.00","59,686.00","64,323.00","71,632.00","35,981.00","35,651.00","24,977.00","42,190.00","3,083.00"
,,Rappresentanze sindacali (richiesta massimale),56.65%,1,"124,009.00","59,686.00","64,323.00","70,253.00","35,289.00","34,964.00","30,781.00","28,973.00","8,146.00"
,,Rappresentanze sindacali (richiesta minimale),56.54%,2,"124,009.00","59,686.00","64,323.00","70,120.00","35,169.00","34,951.00","36,066.00","22,911.00","9,129.00"
,,Soggiorno cautelare,56.54%,4,"124,009.00","59,686.00","64,323.00","70,117.00","35,191.00","34,926.00","32,972.00","24,958.00","9,813.00"
,,Trattenute contributi sindacali,56.74%,7,"124,009.00","59,686.00","64,323.00","70,367.00","35,334.00","35,033.00","33,512.00","26,644.00","8,247.00"
,Rieti Total,,56.94%,45,"1,488,108.00","716,232.00","771,876.00","847,289.00","425,273.00","422,016.00","346,923.00","390,692.00","86,879.00"
,Roma,Autorizzazione al commercio,60.52%,6,"3,193,917.00","1,526,249.00","1,667,668.00","1,932,909.00","947,032.00","985,877.00","642,564.00","1,132,523.00","45,973.00"
,,Concessioni televisive nazionali,61.02%,0,"3,193,917.00","1,526,249.00","1,667,668.00","1,948,782.00","971,501.00","977,281.00","825,614.00","1,114,940.00","11,567.00"
,,Contrattazione pubblico impiego,60.35%,3,"3,193,917.00","1,526,249.00","1,667,668.00","1,927,443.00","944,865.00","982,578.00","1,253,714.00","510,548.00","48,131.00"
,,Interruzioni pubblicitarie,62.12%,0,"3,193,917.00","1,526,249.00","1,667,668.00","1,984,009.00","971,178.00","1,012,831.00","846,377.00","1,099,088.00","11,069.00"
,,Legge elettorale comuni,60.95%,8,"3,193,917.00","1,526,249.00","1,667,668.00","1,946,808.00","954,170.00","992,638.00","930,248.00","868,700.00","42,808.00"
,,Orari esercizi commerciali,60.67%,9,"3,193,917.00","1,526,249.00","1,667,668.00","1,937,690.00","949,321.00","988,369.00","675,385.00","1,135,677.00","38,574.00"
,,Privatizzazione RAI,60.50%,5,"3,193,917.00","1,526,249.00","1,667,668.00","1,932,262.00","946,564.00","985,698.00","916,512.00","902,856.00","38,217.00"
,,Raccolta pubblicita' radiotelevisiva,62.02%,0,"3,193,917.00","1,526,249.00","1,667,668.00","1,980,806.00","971,530.00","1,009,276.00","835,536.00","1,090,355.00","11,925.00"
,,Rappresentanze sindacali (richiesta massimale),60.42%,1,"3,193,917.00","1,526,249.00","1,667,668.00","1,929,913.00","946,012.00","983,901.00","1,007,883.00","773,862.00","42,199.00"
,,Rappresentanze sindacali (richiesta minimale),60.46%,2,"3,193,917.00","1,526,249.00","1,667,668.00","1,931,200.00","946,947.00","984,253.00","1,205,441.00","561,491.00","47,120.00"
,,Soggiorno cautelare,60.32%,4,"3,193,917.00","1,526,249.00","1,667,668.00","1,926,545.00","944,038.00","982,507.00","980,532.00","764,732.00","53,075.00"
,,Trattenute contributi sindacali,60.69%,7,"3,193,917.00","1,526,249.00","1,667,668.00","1,938,537.00","950,235.00","988,302.00","1,092,697.00","705,743.00","41,555.00"
,Roma Total,,60.84%,45,"38,327,004.00","18,314,988.00","20,012,016.00","23,316,904.00","11,443,393.00","11,873,511.00","11,212,503.00","10,660,515.00","432,213.00"
,Viterbo,Autorizzazione al commercio,61.05%,6,"238,616.00","115,642.00","122,974.00","145,665.00","72,547.00","73,118.00","42,682.00","79,549.00","20,242.00"
,,Concessioni televisive nazionali,62.29%,0,"238,616.00","115,642.00","122,974.00","148,636.00","74,078.00","74,558.00","50,140.00","90,592.00","6,646.00"
,,Contrattazione pubblico impiego,60.93%,3,"238,616.00","115,642.00","122,974.00","145,389.00","72,465.00","72,924.00","84,843.00","35,665.00","21,363.00"
,,Interruzioni pubblicitarie,62.28%,0,"238,616.00","115,642.00","122,974.00","148,619.00","74,075.00","74,544.00","51,503.00","89,694.00","5,803.00"
,,Legge elettorale comuni,61.12%,8,"238,616.00","115,642.00","122,974.00","145,847.00","72,687.00","73,160.00","66,944.00","55,200.00","20,573.00"
,,Orari esercizi commerciali,61.14%,9,"238,616.00","115,642.00","122,974.00","145,878.00","72,631.00","73,247.00","45,512.00","79,796.00","17,394.00"
,,Privatizzazione RAI,61.18%,5,"238,616.00","115,642.00","122,974.00","145,983.00","72,777.00","73,206.00","65,177.00","59,975.00","17,820.00"
,,Raccolta pubblicita' radiotelevisiva,62.25%,0,"238,616.00","115,642.00","122,974.00","148,549.00","74,015.00","74,534.00","50,005.00","90,634.00","6,132.00"
,,Rappresentanze sindacali (richiesta massimale),60.99%,1,"238,616.00","115,642.00","122,974.00","145,521.00","72,520.00","73,001.00","68,615.00","54,603.00","18,310.00"
,,Rappresentanze sindacali (richiesta minimale),60.93%,2,"238,616.00","115,642.00","122,974.00","145,381.00","72,457.00","72,924.00","82,643.00","38,452.00","20,866.00"
,,Soggiorno cautelare,60.92%,4,"238,616.00","115,642.00","122,974.00","145,367.00","72,403.00","72,964.00","74,093.00","44,259.00","23,381.00"
,,Trattenute contributi sindacali,61.13%,7,"238,616.00","115,642.00","122,974.00","145,875.00","72,729.00","73,146.00","75,040.00","48,833.00","18,532.00"
,Viterbo Total,,61.35%,45,"2,863,392.00","1,387,704.00","1,475,688.00","1,756,710.00","875,384.00","881,326.00","757,197.00","767,252.00","197,062.00"
LAZIO Total,,,59.05%,225,"52,870,260.00","25,399,704.00","27,470,556.00","31,219,652.00","15,417,518.00","15,802,134.00","14,499,907.00","14,242,052.00","1,276,565.00"
LIGURIA,Genova,Autorizzazione al commercio,60.43%,6,"830,985.00","388,856.00","442,129.00","502,130.00","245,492.00","256,638.00","140,817.00","317,093.00","36,296.00"
,,Concessioni televisive nazionali,61.55%,0,"830,985.00","388,856.00","442,129.00","511,432.00","250,076.00","261,356.00","262,002.00","234,634.00","10,188.00"
,,Contrattazione pubblico impiego,60.34%,3,"830,985.00","388,856.00","442,129.00","501,395.00","245,359.00","256,036.00","336,576.00","116,498.00","40,124.00"
,,Interruzioni pubblicitarie,61.58%,0,"830,985.00","388,856.00","442,129.00","511,732.00","250,261.00","261,471.00","268,474.00","229,157.00","9,883.00"
,,Legge elettorale comuni,60.65%,8,"830,985.00","388,856.00","442,129.00","504,030.00","246,378.00","257,652.00","205,105.00","253,989.00","36,797.00"
,,Orari esercizi commerciali,60.53%,9,"830,985.00","388,856.00","442,129.00","502,990.00","245,762.00","257,228.00","165,782.00","299,669.00","30,784.00"
,,Privatizzazione RAI,60.72%,5,"830,985.00","388,856.00","442,129.00","504,583.00","246,847.00","257,736.00","289,904.00","179,448.00","28,838.00"
