REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,Novara,Riduzione preferenze Camera dei Deputati,60.06%,1,"420,017.00","199,637.00","220,380.00","252,263.00","122,352.00","129,911.00","218,101.00","11,872.00","6,217.00"
,Novara Total,,60.06%,1,"420,017.00","199,637.00","220,380.00","252,263.00","122,352.00","129,911.00","218,101.00","11,872.00","6,217.00"
,Torino,Riduzione preferenze Camera dei Deputati,65.29%,1,"1,884,807.00","905,823.00","978,984.00","1,230,519.00","600,096.00","630,423.00","1,133,137.00","46,081.00","18,771.00"
,Torino Total,,65.29%,1,"1,884,807.00","905,823.00","978,984.00","1,230,519.00","600,096.00","630,423.00","1,133,137.00","46,081.00","18,771.00"
,Vercelli,Riduzione preferenze Camera dei Deputati,65.25%,1,"322,488.00","152,109.00","170,379.00","210,420.00","101,179.00","109,241.00","187,451.00","9,660.00","6,919.00"
,Vercelli Total,,65.25%,1,"322,488.00","152,109.00","170,379.00","210,420.00","101,179.00","109,241.00","187,451.00","9,660.00","6,919.00"
PIEMONTE Total,,,64.14%,6,"3,643,154.00","1,745,064.00","1,898,090.00","2,336,783.00","1,141,200.00","1,195,583.00","2,113,522.00","95,878.00","50,989.00"
PUGLIA,Bari,Riduzione preferenze Camera dei Deputati,58.88%,1,"1,203,012.00","584,056.00","618,956.00","708,292.00","359,084.00","349,208.00","658,186.00","25,788.00","9,431.00"
,Bari Total,,58.88%,1,"1,203,012.00","584,056.00","618,956.00","708,292.00","359,084.00","349,208.00","658,186.00","25,788.00","9,431.00"
,Brindisi,Riduzione preferenze Camera dei Deputati,56.91%,1,"321,115.00","154,314.00","166,801.00","182,737.00","90,252.00","92,485.00","164,394.00","8,536.00","4,268.00"
,Brindisi Total,,56.91%,1,"321,115.00","154,314.00","166,801.00","182,737.00","90,252.00","92,485.00","164,394.00","8,536.00","4,268.00"
,Foggia,Riduzione preferenze Camera dei Deputati,54.71%,1,"545,373.00","265,681.00","279,692.00","298,395.00","151,619.00","146,776.00","272,135.00","13,246.00","5,547.00"
,Foggia Total,,54.71%,1,"545,373.00","265,681.00","279,692.00","298,395.00","151,619.00","146,776.00","272,135.00","13,246.00","5,547.00"
,Lecce,Riduzione preferenze Camera dei Deputati,54.08%,1,"649,292.00","309,568.00","339,724.00","351,112.00","170,111.00","181,001.00","319,572.00","15,134.00","7,783.00"
