REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
 Total,,,#DIV/0!,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABRUZZI,CHIETI,Accesso dei cacciatori a fondi privati,43.25%,2,"336,174.00","163,498.00","172,676.00","145,409.00","71,983.00","73,426.00","127,921.00","10,228.00","4,707.00"
,,Disciplina della caccia,43.24%,1,"336,174.00","163,498.00","172,676.00","145,358.00","71,943.00","73,415.00","126,965.00","10,409.00","5,074.00"
,,Uso dei pesticidi,43.28%,3,"336,174.00","163,498.00","172,676.00","145,502.00","72,049.00","73,453.00","126,838.00","11,213.00","4,836.00"
,CHIETI Total,,43.26%,6,"1,008,522.00","490,494.00","518,028.00","436,269.00","215,975.00","220,294.00","381,724.00","31,850.00","14,617.00"
,L'AQUILA,Accesso dei cacciatori a fondi privati,43.21%,2,"271,410.00","131,527.00","139,883.00","117,282.00","57,079.00","60,203.00","105,096.00","7,181.00","3,222.00"
,,Disciplina della caccia,43.20%,1,"271,410.00","131,527.00","139,883.00","117,252.00","57,061.00","60,191.00","104,134.00","7,513.00","3,568.00"
,,Uso dei pesticidi,43.27%,3,"271,410.00","131,527.00","139,883.00","117,444.00","57,188.00","60,256.00","104,885.00","7,461.00","3,284.00"
,L'AQUILA Total,,43.23%,6,"814,230.00","394,581.00","419,649.00","351,978.00","171,328.00","180,650.00","314,115.00","22,155.00","10,074.00"
,PESCARA,Accesso dei cacciatori a fondi privati,46.01%,2,"255,446.00","124,038.00","131,408.00","117,534.00","57,427.00","60,107.00","106,125.00","6,683.00","2,931.00"
,,Disciplina della caccia,46.00%,1,"255,446.00","124,038.00","131,408.00","117,500.00","57,410.00","60,090.00","105,687.00","6,832.00","3,340.00"
,,Uso dei pesticidi,46.05%,3,"255,446.00","124,038.00","131,408.00","117,645.00","57,526.00","60,119.00","106,501.00","6,391.00","2,915.00"
,PESCARA Total,,46.02%,6,"766,338.00","372,114.00","394,224.00","352,679.00","172,363.00","180,316.00","318,313.00","19,906.00","9,186.00"
,TERAMO,Accesso dei cacciatori a fondi privati,43.54%,2,"238,111.00","116,956.00","121,155.00","103,680.00","51,393.00","52,287.00","90,381.00","7,349.00","3,764.00"
,,Disciplina della caccia,43.52%,1,"238,111.00","116,956.00","121,155.00","103,637.00","51,383.00","52,254.00","90,303.00","7,056.00","4,102.00"
,,Uso dei pesticidi,43.61%,3,"238,111.00","116,956.00","121,155.00","103,837.00","51,511.00","52,326.00","91,287.00","6,831.00","3,373.00"
,TERAMO Total,,43.56%,6,"714,333.00","350,868.00","363,465.00","311,154.00","154,287.00","156,867.00","271,971.00","21,236.00","11,239.00"
ABRUZZI Total,,,43.96%,24,"3,303,423.00","1,608,057.00","1,695,366.00","1,452,080.00","713,953.00","738,127.00","1,286,123.00","95,147.00","45,116.00"
BASILICATA,MATERA,Accesso dei cacciatori a fondi privati,45.21%,2,"160,721.00","79,017.00","81,704.00","72,663.00","36,910.00","35,753.00","65,986.00","3,597.00","1,499.00"
,,Disciplina della caccia,45.19%,1,"160,721.00","79,017.00","81,704.00","72,623.00","36,878.00","35,745.00","65,542.00","3,693.00","1,714.00"
,,Uso dei pesticidi,45.23%,3,"160,721.00","79,017.00","81,704.00","72,696.00","36,938.00","35,758.00","65,035.00","4,452.00","1,577.00"
,MATERA Total,,45.21%,6,"482,163.00","237,051.00","245,112.00","217,982.00","110,726.00","107,256.00","196,563.00","11,742.00","4,790.00"
,POTENZA,Accesso dei cacciatori a fondi privati,37.06%,2,"336,358.00","165,259.00","171,099.00","124,649.00","62,964.00","61,685.00","110,771.00","7,866.00","3,791.00"
,,Disciplina della caccia,37.05%,1,"336,358.00","165,259.00","171,099.00","124,607.00","62,926.00","61,681.00","109,751.00","8,005.00","4,230.00"
,,Uso dei pesticidi,37.17%,3,"336,358.00","165,259.00","171,099.00","125,028.00","63,134.00","61,894.00","110,869.00","7,624.00","3,703.00"
,POTENZA Total,,37.09%,6,"1,009,074.00","495,777.00","513,297.00","374,284.00","189,024.00","185,260.00","331,391.00","23,495.00","11,724.00"
BASILICATA Total,,,39.72%,12,"1,491,237.00","732,828.00","758,409.00","592,266.00","299,750.00","292,516.00","527,954.00","35,237.00","16,514.00"
CALABRIA,CATANZARO,Accesso dei cacciatori a fondi privati,33.09%,2,"599,955.00","293,902.00","306,053.00","198,531.00","101,836.00","96,695.00","175,383.00","12,809.00","6,256.00"
,,Disciplina della caccia,33.08%,1,"599,955.00","293,902.00","306,053.00","198,446.00","101,753.00","96,693.00","174,965.00","12,670.00","6,902.00"
,,Uso dei pesticidi,33.16%,3,"599,955.00","293,902.00","306,053.00","198,926.00","102,121.00","96,805.00","177,289.00","11,653.00","6,095.00"
,CATANZARO Total,,33.11%,6,"1,799,865.00","881,706.00","918,159.00","595,903.00","305,710.00","290,193.00","527,637.00","37,132.00","19,253.00"
,COSENZA,Accesso dei cacciatori a fondi privati,35.17%,2,"602,301.00","295,605.00","306,696.00","211,844.00","108,268.00","103,576.00","187,075.00","12,541.00","7,321.00"
,,Disciplina della caccia,35.14%,1,"602,301.00","295,605.00","306,696.00","211,655.00","108,111.00","103,544.00","186,775.00","12,206.00","7,745.00"
,,Uso dei pesticidi,35.24%,3,"602,301.00","295,605.00","306,696.00","212,239.00","108,649.00","103,590.00","189,625.00","11,237.00","3,937.00"
,COSENZA Total,,35.18%,6,"1,806,903.00","886,815.00","920,088.00","635,738.00","325,028.00","310,710.00","563,475.00","35,984.00","19,003.00"
,REGGIO CALABRIA,Accesso dei cacciatori a fondi privati,20.71%,2,"495,239.00","240,332.00","254,907.00","102,561.00","51,603.00","50,958.00","86,111.00","8,600.00","4,534.00"
,,Disciplina della caccia,20.69%,1,"495,239.00","240,332.00","254,907.00","102,447.00","51,526.00","50,921.00","85,361.00","8,855.00","4,901.00"
,,Uso dei pesticidi,20.81%,3,"495,239.00","240,332.00","254,907.00","103,051.00","51,933.00","51,118.00","88,727.00","7,165.00","4,066.00"
,REGGIO CALABRIA Total,,20.73%,6,"1,485,717.00","720,996.00","764,721.00","308,059.00","155,062.00","152,997.00","260,199.00","24,620.00","13,501.00"
CALABRIA Total,,,30.23%,18,"5,092,485.00","2,489,517.00","2,602,968.00","1,539,700.00","785,800.00","753,900.00","1,351,311.00","97,736.00","51,757.00"
CAMPANIA,AVELLINO,Accesso dei cacciatori a fondi privati,32.22%,2,"379,717.00","186,289.00","193,428.00","122,363.00","62,711.00","59,652.00","109,337.00","7,662.00","3,551.00"
,,Disciplina della caccia,32.24%,1,"379,717.00","186,289.00","193,428.00","122,419.00","62,727.00","59,692.00","108,813.00","7,856.00","3,850.00"
,,Uso dei pesticidi,32.45%,3,"379,717.00","186,289.00","193,428.00","123,236.00","63,207.00","60,029.00","110,565.00","7,098.00","3,332.00"
,AVELLINO Total,,32.31%,6,"1,139,151.00","558,867.00","580,284.00","368,018.00","188,645.00","179,373.00","328,715.00","22,616.00","10,733.00"
,BENEVENTO,Accesso dei cacciatori a fondi privati,33.86%,2,"249,531.00","121,360.00","128,171.00","84,487.00","43,195.00","41,292.00","74,708.00","5,306.00","2,452.00"
,,Disciplina della caccia,33.84%,1,"249,531.00","121,360.00","128,171.00","84,429.00","43,171.00","41,258.00","74,112.00","5,273.00","2,737.00"
,,Uso dei pesticidi,33.91%,3,"249,531.00","121,360.00","128,171.00","84,619.00","43,300.00","41,319.00","74,614.00","5,535.00","2,424.00"
,BENEVENTO Total,,33.87%,6,"748,593.00","364,080.00","384,513.00","253,535.00","129,666.00","123,869.00","223,434.00","16,114.00","7,613.00"
,CASERTA,Accesso dei cacciatori a fondi privati,35.90%,2,"616,721.00","297,582.00","319,139.00","221,424.00","112,203.00","109,221.00","196,815.00","14,383.00","6,872.00"
,,Disciplina della caccia,35.89%,1,"616,721.00","297,582.00","319,139.00","221,365.00","112,193.00","109,172.00","196,561.00","13,943.00","7,758.00"
,,Uso dei pesticidi,35.98%,3,"616,721.00","297,582.00","319,139.00","221,923.00","112,560.00","109,363.00","197,923.00","13,497.00","6,821.00"
,CASERTA Total,,35.93%,6,"1,850,163.00","892,746.00","957,417.00","664,712.00","336,956.00","327,756.00","591,299.00","41,823.00","21,451.00"
,NAPOLI,Accesso dei cacciatori a fondi privati,35.88%,2,"2,275,644.00","1,098,253.00","1,177,391.00","816,504.00","413,435.00","403,069.00","751,687.00","41,760.00","12,055.00"
,,Disciplina della caccia,35.88%,1,"2,275,644.00","1,098,253.00","1,177,391.00","816,518.00","413,462.00","403,056.00","752,469.00","39,483.00","13,189.00"
,,Uso dei pesticidi,35.90%,3,"2,275,644.00","1,098,253.00","1,177,391.00","817,006.00","413,850.00","403,156.00","757,476.00","37,270.00","11,410.00"
,NAPOLI Total,,35.89%,6,"6,826,932.00","3,294,759.00","3,532,173.00","2,450,028.00","1,240,747.00","1,209,281.00","2,261,632.00","118,513.00","36,654.00"
,SALERNO,Accesso dei cacciatori a fondi privati,40.98%,2,"833,457.00","405,494.00","427,963.00","341,525.00","168,967.00","172,558.00","303,226.00","21,982.00","10,561.00"
,,Disciplina della caccia,40.95%,1,"833,457.00","405,494.00","427,963.00","341,307.00","168,791.00","172,516.00","302,264.00","21,936.00","11,319.00"
,,Uso dei pesticidi,41.02%,3,"833,457.00","405,494.00","427,963.00","341,880.00","169,240.00","172,640.00","306,268.00","20,068.00","9,849.00"
,SALERNO Total,,40.98%,6,"2,500,371.00","1,216,482.00","1,283,889.00","1,024,712.00","506,998.00","517,714.00","911,758.00","63,986.00","31,729.00"
CAMPANIA Total,,,36.44%,30,"13,065,210.00","6,326,934.00","6,738,276.00","4,761,005.00","2,403,012.00","2,357,993.00","4,316,838.00","263,052.00","108,180.00"
EMILIA ROMAGNA,BOLOGNA,Accesso dei cacciatori a fondi privati,50.35%,2,"785,495.00","372,462.00","413,033.00","395,528.00","188,091.00","207,437.00","351,375.00","26,510.00","12,263.00"
,,Disciplina della caccia,50.32%,1,"785,495.00","372,462.00","413,033.00","395,240.00","187,893.00","207,347.00","348,986.00","26,196.00","14,254.00"
,,Uso dei pesticidi,50.57%,3,"785,495.00","372,462.00","413,033.00","397,200.00","189,142.00","208,058.00","362,039.00","21,406.00","8,886.00"
,BOLOGNA Total,,50.41%,6,"2,356,485.00","1,117,386.00","1,239,099.00","1,187,968.00","565,126.00","622,842.00","1,062,400.00","74,112.00","35,403.00"
,FERRARA,Accesso dei cacciatori a fondi privati,52.58%,2,"332,891.00","157,386.00","175,505.00","175,027.00","83,793.00","91,234.00","155,554.00","11,631.00","5,801.00"
,,Disciplina della caccia,55.43%,1,"332,891.00","157,386.00","175,505.00","184,517.00","88,325.00","96,192.00","154,900.00","11,060.00","6,718.00"
,,Uso dei pesticidi,52.56%,3,"332,891.00","157,386.00","175,505.00","174,951.00","83,778.00","91,173.00","156,556.00","11,194.00","5,214.00"
,FERRARA Total,,53.52%,6,"998,673.00","472,158.00","526,515.00","534,495.00","255,896.00","278,599.00","467,010.00","33,885.00","17,733.00"
,FORLI',Accesso dei cacciatori a fondi privati,38.99%,2,"504,291.00","243,005.00","261,286.00","196,620.00","94,829.00","101,791.00","175,198.00","13,280.00","5,255.00"
,,Disciplina della caccia,38.96%,1,"504,291.00","243,005.00","261,286.00","196,465.00","94,713.00","101,752.00","171,151.00","13,193.00","6,117.00"
,,Uso dei pesticidi,39.39%,3,"504,291.00","243,005.00","261,286.00","198,657.00","96,088.00","102,569.00","183,597.00","9,399.00","3,362.00"
,FORLI' Total,,39.11%,6,"1,512,873.00","729,015.00","783,858.00","591,742.00","285,630.00","306,112.00","529,946.00","35,872.00","14,734.00"
,MODENA,Accesso dei cacciatori a fondi privati,52.87%,2,"502,850.00","241,657.00","261,193.00","265,851.00","128,261.00","137,590.00","235,807.00","17,639.00","9,681.00"
,,Disciplina della caccia,52.83%,1,"502,850.00","241,657.00","261,193.00","265,659.00","128,167.00","137,492.00","234,243.00","17,293.00","11,090.00"
,,Uso dei pesticidi,53.04%,3,"502,850.00","241,657.00","261,193.00","266,721.00","128,788.00","137,933.00","242,536.00","14,422.00","7,360.00"
,MODENA Total,,52.91%,6,"1,508,550.00","724,971.00","783,579.00","798,231.00","385,216.00","413,015.00","712,586.00","49,354.00","28,131.00"
,PARMA,Accesso dei cacciatori a fondi privati,48.77%,2,"341,788.00","163,081.00","178,707.00","166,704.00","80,050.00","86,654.00","148,093.00","11,273.00","7,326.00"
,,Disciplina della caccia,48.75%,1,"341,788.00","163,081.00","178,707.00","166,635.00","80,015.00","86,620.00","147,592.00","10,959.00","8,087.00"
,,Uso dei pesticidi,49.04%,3,"341,788.00","163,081.00","178,707.00","167,610.00","80,604.00","87,006.00","153,681.00","8,540.00","5,402.00"
,PARMA Total,,48.86%,6,"1,025,364.00","489,243.00","536,121.00","500,949.00","240,669.00","260,280.00","449,366.00","30,772.00","20,815.00"
,PIACENZA,Accesso dei cacciatori a fondi privati,44.77%,2,"233,665.00","112,074.00","121,591.00","104,620.00","50,450.00","54,170.00","86,305.00","9,914.00","5,536.00"
,,Disciplina della caccia,44.76%,1,"233,665.00","112,074.00","121,591.00","104,579.00","50,420.00","54,159.00","86,241.00","9,361.00","5,959.00"
,,Uso dei pesticidi,44.91%,3,"233,665.00","112,074.00","121,591.00","104,947.00","50,664.00","54,283.00","90,535.00","7,684.00","4,124.00"
,PIACENZA Total,,44.81%,6,"700,995.00","336,222.00","364,773.00","314,146.00","151,534.00","162,612.00","263,081.00","26,959.00","15,619.00"
,RAVENNA,Accesso dei cacciatori a fondi privati,38.27%,2,"299,331.00","143,427.00","155,904.00","114,554.00","54,755.00","59,799.00","99,425.00","9,057.00","4,348.00"
,,Disciplina della caccia,38.23%,1,"299,331.00","143,427.00","155,904.00","114,422.00","54,667.00","59,755.00","98,337.00","9,331.00","4,901.00"
,,Uso dei pesticidi,38.76%,3,"299,331.00","143,427.00","155,904.00","116,020.00","55,628.00","60,392.00","104,608.00","7,167.00","2,798.00"
,RAVENNA Total,,38.42%,6,"897,993.00","430,281.00","467,712.00","344,996.00","165,050.00","179,946.00","302,370.00","25,555.00","12,047.00"
,REGGIO EMILIA,Accesso dei cacciatori a fondi privati,54.34%,2,"348,346.00","167,410.00","180,936.00","189,288.00","91,060.00","98,228.00","167,319.00","12,824.00","7,029.00"
,,Disciplina della caccia,54.30%,1,"348,346.00","167,410.00","180,936.00","189,169.00","90,932.00","98,237.00","167,278.00","11,903.00","7,752.00"
,,Uso dei pesticidi,54.79%,3,"348,346.00","167,410.00","180,936.00","190,858.00","92,005.00","98,853.00","175,572.00","9,049.00","4,443.00"
,REGGIO EMILIA Total,,54.48%,6,"1,045,038.00","502,230.00","542,808.00","569,315.00","273,997.00","295,318.00","510,169.00","33,776.00","19,224.00"
EMILIA ROMAGNA Total,,,48.20%,48,"10,045,971.00","4,801,506.00","5,244,465.00","4,841,842.00","2,323,118.00","2,518,724.00","4,296,928.00","310,285.00","163,706.00"
FRIULI-VENEZIA GIULIA,GORIZIA,Accesso dei cacciatori a fondi privati,65.99%,2,"119,086.00","55,802.00","63,284.00","78,589.00","36,919.00","41,670.00","69,578.00","5,799.00","2,116.00"
,,Disciplina della caccia,65.96%,1,"119,086.00","55,802.00","63,284.00","78,552.00","36,890.00","41,662.00","68,761.00","6,192.00","2,447.00"
,,Uso dei pesticidi,66.05%,3,"119,086.00","55,802.00","63,284.00","78,660.00","36,964.00","41,696.00","70,698.00","5,069.00","1,979.00"
,GORIZIA Total,,66.00%,6,"357,258.00","167,406.00","189,852.00","235,801.00","110,773.00","125,028.00","209,037.00","17,060.00","6,542.00"
,PORDENONE,Accesso dei cacciatori a fondi privati,48.65%,2,"239,691.00","115,631.00","124,060.00","116,605.00","56,803.00","59,802.00","100,794.00","10,850.00","3,202.00"
,,Disciplina della caccia,48.62%,1,"239,691.00","115,631.00","124,060.00","116,540.00","56,780.00","59,760.00","99,843.00","11,039.00","3,779.00"
,,Uso dei pesticidi,48.76%,3,"239,691.00","115,631.00","124,060.00","116,862.00","56,962.00","59,900.00","102,637.00","9,386.00","3,116.00"
,PORDENONE Total,,48.67%,6,"719,073.00","346,893.00","372,180.00","350,007.00","170,545.00","179,462.00","303,274.00","31,275.00","10,097.00"
,TRIESTE,Accesso dei cacciatori a fondi privati,60.40%,2,"233,307.00","106,765.00","126,542.00","140,906.00","65,138.00","75,768.00","126,784.00","9,378.00","2,777.00"
,,Disciplina della caccia,60.39%,1,"233,307.00","106,765.00","126,542.00","140,887.00","65,097.00","75,790.00","125,299.00","10,333.00","3,231.00"
,,Uso dei pesticidi,60.35%,3,"233,307.00","106,765.00","126,542.00","140,804.00","65,109.00","75,695.00","126,450.00","9,775.00","2,831.00"
,TRIESTE Total,,60.38%,6,"699,921.00","320,295.00","379,626.00","422,597.00","195,344.00","227,253.00","378,533.00","29,486.00","8,839.00"
,UDINE,Accesso dei cacciatori a fondi privati,46.82%,2,"457,690.00","220,309.00","237,381.00","214,312.00","102,182.00","112,130.00","186,494.00","18,769.00","5,936.00"
,,Disciplina della caccia,46.74%,1,"457,690.00","220,309.00","237,381.00","213,923.00","101,976.00","111,947.00","185,073.00","19,063.00","6,926.00"
,,Uso dei pesticidi,46.95%,3,"457,690.00","220,309.00","237,381.00","214,900.00","102,587.00","112,313.00","191,472.00","15,398.00","5,157.00"
,UDINE Total,,46.84%,6,"1,373,070.00","660,927.00","712,143.00","643,135.00","306,745.00","336,390.00","563,039.00","53,230.00","18,019.00"
FRIULI-VENEZIA GIULIA Total,,,52.44%,24,"3,149,322.00","1,495,521.00","1,653,801.00","1,651,540.00","783,407.00","868,133.00","1,453,883.00","131,051.00","43,497.00"
LAZIO,FROSINONE,Accesso dei cacciatori a fondi privati,37.85%,2,"409,123.00","200,269.00","208,854.00","154,864.00","77,816.00","77,048.00","130,572.00","13,119.00","7,159.00"
,,Disciplina della caccia,37.82%,1,"409,123.00","200,269.00","208,854.00","154,739.00","77,780.00","76,959.00","129,311.00","13,698.00","8,070.00"
,,Uso dei pesticidi,37.92%,3,"409,123.00","200,269.00","208,854.00","155,126.00","78,066.00","77,060.00","133,643.00","11,245.00","6,411.00"
,FROSINONE Total,,37.86%,6,"1,227,369.00","600,807.00","626,562.00","464,729.00","233,662.00","231,067.00","393,526.00","38,062.00","21,640.00"
,LATINA,Accesso dei cacciatori a fondi privati,39.77%,2,"381,287.00","186,357.00","194,930.00","151,636.00","74,776.00","76,860.00","136,057.00","9,639.00","3,445.00"
,,Disciplina della caccia,39.61%,1,"381,287.00","186,357.00","194,930.00","151,041.00","74,469.00","76,572.00","134,426.00","10,600.00","3,974.00"
,,Uso dei pesticidi,39.84%,3,"381,287.00","186,357.00","194,930.00","151,920.00","74,933.00","76,987.00","135,354.00","10,272.00","3,507.00"
,LATINA Total,,39.74%,6,"1,143,861.00","559,071.00","584,790.00","454,597.00","224,178.00","230,419.00","405,837.00","30,511.00","10,926.00"
,RIETI,Accesso dei cacciatori a fondi privati,37.51%,2,"119,376.00","57,692.00","61,684.00","44,774.00","21,860.00","22,914.00","37,963.00","4,037.00","1,815.00"
,,Disciplina della caccia,37.49%,1,"119,376.00","57,692.00","61,684.00","44,756.00","21,830.00","22,926.00","37,452.00","4,169.00","2,081.00"
,,Uso dei pesticidi,37.72%,3,"119,376.00","57,692.00","61,684.00","45,032.00","22,055.00","22,977.00","39,284.00","3,228.00","1,580.00"
,RIETI Total,,37.57%,6,"358,128.00","173,076.00","185,052.00","134,562.00","65,745.00","68,817.00","114,699.00","11,434.00","5,476.00"
,ROMA,Accesso dei cacciatori a fondi privati,49.12%,2,"3,094,059.00","1,479,223.00","1,614,836.00","1,519,791.00","731,679.00","788,112.00","1,375,939.00","101,804.00","22,341.00"
,,Disciplina della caccia,48.99%,1,"3,094,059.00","1,479,223.00","1,614,836.00","1,515,769.00","729,601.00","786,168.00","1,358,025.00","109,281.00","27,169.00"
,,Uso dei pesticidi,49.48%,3,"3,094,059.00","1,479,223.00","1,614,836.00","1,530,862.00","737,859.00","793,003.00","1,389,616.00","89,527.00","21,352.00"
,ROMA Total,,49.20%,6,"9,282,177.00","4,437,669.00","4,844,508.00","4,566,422.00","2,199,139.00","2,367,283.00","4,123,580.00","300,612.00","70,862.00"
,VITERBO,Accesso dei cacciatori a fondi privati,38.23%,2,"224,994.00","109,116.00","115,878.00","86,017.00","42,060.00","43,957.00","75,006.00","6,371.00","3,249.00"
,,Disciplina della caccia,38.20%,1,"224,994.00","109,116.00","115,878.00","85,948.00","42,005.00","43,943.00","74,300.00","6,324.00","3,766.00"
,,Uso dei pesticidi,38.49%,3,"224,994.00","109,116.00","115,878.00","86,604.00","42,424.00","44,180.00","75,920.00","6,301.00","3,084.00"
,VITERBO Total,,38.31%,6,"674,982.00","327,348.00","347,634.00","258,569.00","126,489.00","132,080.00","225,226.00","18,996.00","10,099.00"
LAZIO Total,,,46.34%,30,"12,686,517.00","6,097,971.00","6,588,546.00","5,878,879.00","2,849,213.00","3,029,666.00","5,262,868.00","399,615.00","119,003.00"
LIGURIA,GENOVA,Accesso dei cacciatori a fondi privati,43.78%,2,"845,939.00","395,315.00","450,624.00","370,364.00","175,464.00","194,900.00","330,714.00","26,409.00","8,595.00"
,,Disciplina della caccia,43.77%,1,"845,939.00","395,315.00","450,624.00","370,277.00","175,340.00","194,937.00","328,705.00","27,049.00","9,572.00"
,,Uso dei pesticidi,43.98%,3,"845,939.00","395,315.00","450,624.00","372,041.00","176,481.00","195,560.00","343,978.00","18,068.00","6,093.00"
,GENOVA Total,,43.84%,6,"2,537,817.00","1,185,945.00","1,351,872.00","1,112,682.00","527,285.00","585,397.00","1,003,397.00","71,526.00","24,260.00"
,IMPERIA,Accesso dei cacciatori a fondi privati,37.03%,2,"190,317.00","89,908.00","100,409.00","70,481.00","32,817.00","37,664.00","63,163.00","4,535.00","1,643.00"
,,Disciplina della caccia,36.95%,1,"190,317.00","89,908.00","100,409.00","70,326.00","32,704.00","37,622.00","61,768.00","5,352.00","2,067.00"
,,Uso dei pesticidi,37.12%,3,"190,317.00","89,908.00","100,409.00","70,651.00","32,922.00","37,729.00","63,299.00","4,811.00","1,500.00"
,IMPERIA Total,,37.04%,6,"570,951.00","269,724.00","301,227.00","211,458.00","98,443.00","113,015.00","188,230.00","14,698.00","5,210.00"
,LA SPEZIA,Accesso dei cacciatori a fondi privati,45.34%,2,"200,704.00","95,032.00","105,672.00","91,000.00","43,603.00","47,397.00","82,165.00","5,795.00","2,164.00"
,,Disciplina della caccia,45.29%,1,"200,704.00","95,032.00","105,672.00","90,907.00","43,537.00","47,370.00","80,952.00","6,382.00","2,576.00"
,,Uso dei pesticidi,45.86%,3,"200,704.00","95,032.00","105,672.00","92,038.00","44,183.00","47,855.00","85,887.00","3,933.00","1,568.00"
,LA SPEZIA Total,,45.50%,6,"602,112.00","285,096.00","317,016.00","273,945.00","131,323.00","142,622.00","249,004.00","16,110.00","6,308.00"
,SAVONA,Accesso dei cacciatori a fondi privati,40.03%,2,"251,218.00","118,536.00","132,682.00","100,554.00","46,952.00","53,602.00","89,274.00","7,009.00","3,013.00"
,,Disciplina della caccia,39.79%,1,"251,218.00","118,536.00","132,682.00","99,971.00","46,883.00","53,088.00","88,117.00","7,439.00","3,517.00"
,,Uso dei pesticidi,40.24%,3,"251,218.00","118,536.00","132,682.00","101,093.00","47,275.00","53,818.00","92,165.00","5,454.00","2,322.00"
,SAVONA Total,,40.02%,6,"753,654.00","355,608.00","398,046.00","301,618.00","141,110.00","160,508.00","269,556.00","19,902.00","8,852.00"
LIGURIA Total,,,42.55%,24,"4,464,534.00","2,096,373.00","2,368,161.00","1,899,703.00","898,161.00","1,001,542.00","1,710,187.00","122,236.00","44,630.00"
LOMBARDIA,BERGAMO,Accesso dei cacciatori a fondi privati,29.16%,2,"1,168,750.00","563,572.00","605,178.00","340,764.00","160,201.00","180,563.00","285,914.00","36,111.00","13,971.00"
,,Disciplina della caccia,46.40%,1,"1,168,750.00","563,572.00","605,178.00","542,331.00","254,742.00","287,589.00","282,136.00","37,837.00","15,752.00"
,,Uso dei pesticidi,29.26%,3,"1,168,750.00","563,572.00","605,178.00","341,950.00","161,023.00","180,927.00","299,265.00","26,950.00","11,407.00"
,BERGAMO Total,,34.94%,6,"3,506,250.00","1,690,716.00","1,815,534.00","1,225,045.00","575,966.00","649,079.00","867,315.00","100,898.00","41,130.00"
,BRESCIA,Accesso dei cacciatori a fondi privati,23.65%,2,"835,274.00","400,867.00","434,407.00","197,512.00","93,419.00","104,093.00","161,986.00","24,388.00","8,751.00"
,,Disciplina della caccia,23.59%,1,"835,274.00","400,867.00","434,407.00","197,013.00","93,080.00","103,933.00","157,578.00","26,350.00","10,291.00"
,,Uso dei pesticidi,24.07%,3,"835,274.00","400,867.00","434,407.00","201,041.00","95,554.00","105,487.00","176,604.00","15,539.00","6,536.00"
,BRESCIA Total,,23.77%,6,"2,505,822.00","1,202,601.00","1,303,221.00","595,566.00","282,053.00","313,513.00","496,168.00","66,277.00","25,578.00"
,COMO,Accesso dei cacciatori a fondi privati,49.97%,2,"640,767.00","305,419.00","335,348.00","320,204.00","151,297.00","168,907.00","273,838.00","29,111.00","11,241.00"
,,Disciplina della caccia,49.98%,1,"640,767.00","305,419.00","335,348.00","320,278.00","151,324.00","168,954.00","272,540.00","29,656.00","12,795.00"
,,Uso dei pesticidi,50.10%,3,"640,767.00","305,419.00","335,348.00","321,030.00","151,799.00","169,231.00","283,069.00","22,919.00","9,800.00"
,COMO Total,,50.02%,6,"1,922,301.00","916,257.00","1,006,044.00","961,512.00","454,420.00","507,092.00","829,447.00","81,686.00","33,836.00"
,CREMONA,Accesso dei cacciatori a fondi privati,50.93%,2,"271,811.00","129,066.00","142,745.00","138,432.00","65,736.00","72,696.00","113,976.00","15,141.00","7,038.00"
,,Disciplina della caccia,50.94%,1,"271,811.00","129,066.00","142,745.00","138,458.00","65,742.00","72,716.00","115,192.00","13,304.00","7,428.00"
,,Uso dei pesticidi,51.17%,3,"271,811.00","129,066.00","142,745.00","139,090.00","66,142.00","72,948.00","120,715.00","10,729.00","7,352.00"
,CREMONA Total,,51.01%,6,"815,433.00","387,198.00","428,235.00","415,980.00","197,620.00","218,360.00","349,883.00","39,174.00","21,818.00"
,MANTOVA,Accesso dei cacciatori a fondi privati,52.73%,2,"307,835.00","145,765.00","162,070.00","162,336.00","77,390.00","84,946.00","143,166.00","11,734.00","5,798.00"
,,Disciplina della caccia,52.72%,1,"307,835.00","145,765.00","162,070.00","162,286.00","77,352.00","84,934.00","142,914.00","11,322.00","6,354.00"
,,Uso dei pesticidi,52.99%,3,"307,835.00","145,765.00","162,070.00","163,136.00","77,925.00","85,211.00","146,700.00","10,800.00","4,995.00"
,MANTOVA Total,,52.82%,6,"923,505.00","437,295.00","486,210.00","487,758.00","232,667.00","255,091.00","432,780.00","33,856.00","17,147.00"
,MILANO,Accesso dei cacciatori a fondi privati,57.21%,2,"3,266,467.00","1,553,155.00","1,713,312.00","1,868,633.00","892,384.00","976,249.00","1,684,571.00","131,285.00","38,161.00"
,,Disciplina della caccia,57.34%,1,"3,266,467.00","1,553,155.00","1,713,312.00","1,872,895.00","894,121.00","978,774.00","1,671,169.00","136,888.00","43,554.00"
,,Uso dei pesticidi,57.39%,3,"3,266,467.00","1,553,155.00","1,713,312.00","1,874,711.00","895,583.00","979,128.00","1,715,144.00","107,312.00","33,337.00"
