REGIONE,PROVINCIA,QUESITO,SUM of ELETTORI_TOT,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SKBIANCHE,AFFLUENZA
,Brindisi Total,,"345,011.00","165,451.00","179,560.00","86,404.00","43,874.00","42,530.00","50,678.00","31,073.00","2,152.00",0.2504383918
,Foggia,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"583,616.00","284,217.00","299,399.00","155,781.00","81,944.00","73,837.00","91,392.00","56,375.00","2,933.00",0.2669237992
,Foggia Total,,"583,616.00","284,217.00","299,399.00","155,781.00","81,944.00","73,837.00","91,392.00","56,375.00","2,933.00",0.2669237992
,Lecce,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"713,129.00","341,028.00","372,101.00","171,664.00","86,631.00","85,033.00","107,224.00","56,223.00","4,162.00",0.240719421
,Lecce Total,,"713,129.00","341,028.00","372,101.00","171,664.00","86,631.00","85,033.00","107,224.00","56,223.00","4,162.00",0.240719421
,Taranto,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"492,724.00","237,939.00","254,785.00","138,590.00","72,851.00","65,739.00","81,125.00","50,384.00","2,916.00",0.2812730859
,Taranto Total,,"492,724.00","237,939.00","254,785.00","138,590.00","72,851.00","65,739.00","81,125.00","50,384.00","2,916.00",0.2812730859
PUGLIA Total,,,"3,467,479.00","1,677,155.00","1,790,324.00","923,554.00","477,423.00","446,131.00","548,447.00","329,847.00","18,629.00",0.2663473953
SARDEGNA,Cagliari,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"660,975.00","322,208.00","338,767.00","165,532.00","82,566.00","82,966.00","107,236.00","52,869.00","2,234.00",0.2504360982
,Cagliari Total,,"660,975.00","322,208.00","338,767.00","165,532.00","82,566.00","82,966.00","107,236.00","52,869.00","2,234.00",0.2504360982
,Nuoro,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"235,812.00","116,298.00","119,514.00","50,573.00","24,767.00","25,806.00","37,510.00","11,480.00",628.00,0.2144632165
,Nuoro Total,,"235,812.00","116,298.00","119,514.00","50,573.00","24,767.00","25,806.00","37,510.00","11,480.00",628.00,0.2144632165
,Oristano,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"136,852.00","67,438.00","69,414.00","32,193.00","15,675.00","16,518.00","20,856.00","10,059.00",503.00,0.2352395288
,Oristano Total,,"136,852.00","67,438.00","69,414.00","32,193.00","15,675.00","16,518.00","20,856.00","10,059.00",503.00,0.2352395288
,Sassari,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"401,028.00","196,736.00","204,292.00","101,923.00","50,581.00","51,342.00","72,049.00","26,645.00","1,399.00",0.2541543234
,Sassari Total,,"401,028.00","196,736.00","204,292.00","101,923.00","50,581.00","51,342.00","72,049.00","26,645.00","1,399.00",0.2541543234
SARDEGNA Total,,,"1,434,667.00","702,680.00","731,987.00","350,221.00","173,589.00","176,632.00","237,651.00","101,053.00","4,764.00",0.2441130938
SICILIA,Agrigento,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"456,125.00","224,640.00","231,485.00","89,396.00","46,805.00","42,591.00","50,819.00","30,007.00","3,502.00",0.1959901343
,Agrigento Total,,"456,125.00","224,640.00","231,485.00","89,396.00","46,805.00","42,591.00","50,819.00","30,007.00","3,502.00",0.1959901343
,Caltanissetta,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"278,282.00","135,949.00","142,333.00","59,829.00","30,730.00","29,099.00","33,267.00","21,987.00","2,028.00",0.2149941426
,Caltanissetta Total,,"278,282.00","135,949.00","142,333.00","59,829.00","30,730.00","29,099.00","33,267.00","21,987.00","2,028.00",0.2149941426
,Catania,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"911,130.00","438,924.00","472,206.00","239,822.00","121,661.00","118,161.00","128,273.00","94,045.00","6,786.00",0.2632138114
,Catania Total,,"911,130.00","438,924.00","472,206.00","239,822.00","121,661.00","118,161.00","128,273.00","94,045.00","6,786.00",0.2632138114
,Enna,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"188,854.00","92,606.00","96,248.00","43,118.00","22,241.00","20,877.00","24,763.00","13,897.00","1,736.00",0.2283139356
,Enna Total,,"188,854.00","92,606.00","96,248.00","43,118.00","22,241.00","20,877.00","24,763.00","13,897.00","1,736.00",0.2283139356
,Messina,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"579,616.00","277,327.00","302,289.00","149,009.00","75,795.00","73,214.00","73,705.00","60,270.00","6,744.00",0.2570822752
,Messina Total,,"579,616.00","277,327.00","302,289.00","149,009.00","75,795.00","73,214.00","73,705.00","60,270.00","6,744.00",0.2570822752
,Palermo,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"1,075,871.00","516,842.00","559,029.00","269,543.00","138,949.00","130,594.00","145,256.00","102,789.00","8,075.00",0.2505346831
,Palermo Total,,"1,075,871.00","516,842.00","559,029.00","269,543.00","138,949.00","130,594.00","145,256.00","102,789.00","8,075.00",0.2505346831
,Ragusa,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"248,076.00","119,880.00","128,196.00","69,599.00","35,227.00","34,372.00","39,143.00","24,399.00","2,402.00",0.2805551525
,Ragusa Total,,"248,076.00","119,880.00","128,196.00","69,599.00","35,227.00","34,372.00","39,143.00","24,399.00","2,402.00",0.2805551525
,Siracusa,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"352,551.00","172,711.00","179,840.00","83,571.00","43,174.00","40,397.00","49,125.00","29,466.00","1,797.00",0.237046555
,Siracusa Total,,"352,551.00","172,711.00","179,840.00","83,571.00","43,174.00","40,397.00","49,125.00","29,466.00","1,797.00",0.237046555
,Trapani,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"377,720.00","182,040.00","195,680.00","99,492.00","51,513.00","47,979.00","53,101.00","36,533.00","4,339.00",0.2634014614
,Trapani Total,,"377,720.00","182,040.00","195,680.00","99,492.00","51,513.00","47,979.00","53,101.00","36,533.00","4,339.00",0.2634014614
SICILIA Total,,,"4,468,225.00","2,160,919.00","2,307,306.00","1,103,379.00","566,095.00","537,284.00","597,452.00","413,393.00","37,409.00",0.246938997
TOSCANA,Arezzo,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"272,831.00","131,459.00","141,372.00","108,801.00","55,521.00","53,280.00","74,031.00","32,504.00","1,250.00",0.3987853286
,Arezzo Total,,"272,831.00","131,459.00","141,372.00","108,801.00","55,521.00","53,280.00","74,031.00","32,504.00","1,250.00",0.3987853286
,Firenze,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"801,690.00","380,230.00","421,460.00","393,627.00","193,015.00","200,612.00","285,293.00","98,750.00","4,121.00",0.4909965199
,Firenze Total,,"801,690.00","380,230.00","421,460.00","393,627.00","193,015.00","200,612.00","285,293.00","98,750.00","4,121.00",0.4909965199
,Grosseto,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"185,986.00","88,709.00","97,277.00","73,276.00","36,713.00","36,563.00","48,160.00","23,785.00",684.00,0.3939866442
,Grosseto Total,,"185,986.00","88,709.00","97,277.00","73,276.00","36,713.00","36,563.00","48,160.00","23,785.00",684.00,0.3939866442
,Livorno,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"289,822.00","137,852.00","151,970.00","127,550.00","63,063.00","64,487.00","94,624.00","30,996.00",885.00,0.4400977151
,Livorno Total,,"289,822.00","137,852.00","151,970.00","127,550.00","63,063.00","64,487.00","94,624.00","30,996.00",885.00,0.4400977151
,Lucca,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"334,965.00","159,693.00","175,272.00","116,925.00","58,275.00","58,650.00","72,355.00","40,290.00","8,546.00",0.3490663204
,Lucca Total,,"334,965.00","159,693.00","175,272.00","116,925.00","58,275.00","58,650.00","72,355.00","40,290.00","8,546.00",0.3490663204
,Massa-Carrara,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"178,771.00","85,152.00","93,619.00","56,948.00","28,726.00","28,222.00","37,038.00","17,550.00",638.00,0.3185527854
,Massa-Carrara Total,,"178,771.00","85,152.00","93,619.00","56,948.00","28,726.00","28,222.00","37,038.00","17,550.00",638.00,0.3185527854
,Pisa,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"328,687.00","157,141.00","171,546.00","147,116.00","73,606.00","73,510.00","102,981.00","40,883.00","1,585.00",0.447586914
,Pisa Total,,"328,687.00","157,141.00","171,546.00","147,116.00","73,606.00","73,510.00","102,981.00","40,883.00","1,585.00",0.447586914
,Pistoia,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"233,163.00","111,105.00","122,058.00","95,914.00","47,506.00","48,408.00","64,646.00","28,731.00","1,173.00",0.411360293
,Pistoia Total,,"233,163.00","111,105.00","122,058.00","95,914.00","47,506.00","48,408.00","64,646.00","28,731.00","1,173.00",0.411360293
,Prato,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"188,873.00","91,026.00","97,847.00","77,246.00","38,542.00","38,704.00","54,662.00","21,029.00",647.00,0.4089838145
,Prato Total,,"188,873.00","91,026.00","97,847.00","77,246.00","38,542.00","38,704.00","54,662.00","21,029.00",647.00,0.4089838145
,Siena,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"215,966.00","103,233.00","112,733.00","106,944.00","53,643.00","53,301.00","80,742.00","24,177.00","1,063.00",0.4951890575
,Siena Total,,"215,966.00","103,233.00","112,733.00","106,944.00","53,643.00","53,301.00","80,742.00","24,177.00","1,063.00",0.4951890575
TOSCANA Total,,,"3,030,754.00","1,445,600.00","1,585,154.00","1,304,347.00","648,610.00","655,737.00","914,532.00","358,695.00","20,592.00",0.4303704623
